,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Cleantext
138687,150505,0006641040,A2PTSM496CF40Z,"Jason A. Teeple ""Nobody made a greater mistak...",1,1,1,1210809600,A classic,"Get the movie or sound track and sing along with Carol King. This is great stuff, my whole extended family knows these songs by heart. Quality kids storytelling and music.",get move sound track sing along carol king great stuff whole extend family know song heart quality kid storytel music
138698,150516,0006641040,A3OI7ZGH6WZJ5G,"Mary Jane Rogers ""Maedchen""",0,0,1,1293840000,Darling!,"The same author wrote ""Where the Wild Things Are.""  Carol King wrote a great song that matches all the lyrics.  The illustrations are fabulous.  I wish I could buy it hardbound and larger.  It is a tiny book and easily misplaced.  My 3 year-old carries it everywhere.",author wrote wild thing carol king great song match lyric illusory kabul wish could buy hardboard larger tiny book easily display year old carry everywhere
138700,150518,0006641040,AK1L4EJBA23JF,L. M. Kraus,0,0,1,1288224000,love this book,"Great book, perfect condition arrived in a short amount of time, long before the expected delivery date",great book perfect conduit arrive short amount time long expect delivery date
138701,150519,0006641040,A12HY5OZ2QNK4N,Elizabeth H. Roessner,0,0,1,1256774400,It's a great book!,"I've always loved chicken soup and rice. My late great-grandmother, Ethel, always made me homemade chicken, chicken soup and rice. This book takes me back to the days my mother, my father, my sister, and I went to Ethel's house. My late great-grandfather, Isadore, would cook the chicken because Ethel was blind. So, it reminds me of the time we were all together as a family. It brings back happy memories of all the love we shared over bowls of hot soup.",always love chicken soup rice late great grandmother ethel made homemade book take back day mother father sister went hous grandfather isadora would cook blind remind time together family bring happy memory share bowl hot
138702,150520,0006641040,ADBFSA9KTQANE,"James L. Hammock ""Pucks Buddy""",0,0,1,1256688000,Great Gift,This book was purchased as a birthday gift for a 4 year old boy. He squealed with delight and hugged it when told it was his to keep and he did not have to return it to the library.,book purchas birthday gift year old boy squeal delight hug told keep return library
138703,150521,0006641040,A3RMCRB2NDTDYP,Carol Carruthers,0,0,1,1243468800,This book is great!,"My 7 year old daughter brought this book home from the school library. It was a little easy for her reading skills, but she loved it anyways. My 4 year old daughter started reading it and now we can't get her to return it to school. The book is small but this is better for little hands. This is a great book for any age! The pictures are cute and go well with the writing. The rhyming makes it easy to get to know the months. I recommend this book to every parent!",year old daughter brought book home school library little east read skill love anyway start get return small better hand great age picture cute go well write rhyme make know month recommend every parent
138704,150522,0006641040,A1S3C5OFU508P3,Charles Ashbacher,0,0,1,1219536000,Children will find it entertaining and a generator of giggles,"This book contains a collection of twelve short statements, all of which end with the phrase ""Chicken Soup with Rice."" Each one is based on a month of the year and they have some elements of nonsense verse. For that reason, children will find them entertaining and they will generate a few giggles.",book contain collect twelve short statement end phrase chicken soup rice one base month year element nonsense vers reason children find entertain gene giggle
138705,150523,0006641040,A2P4F2UO0UMP8C,"Elizabeth A. Curry ""Lovely Librarian""",0,0,1,1096675200,MMMM chicken soup....,"Summary:  A young boy describes the usefulness of chicken soup with rice for each month of the year.<br /><br />Evaluation:  With Sendak's creative repetitious and rhythmic words, children will enjoy and learn to read the story of a boy who loves chicken soup with rice!  Through Sendak's catchy story, children will also learn the months of the year, as well as what seasons go with what month! They learn to identify ice-skating and snowmen in the winter; strong wind in March; birds and flowers in the spring; swimming and hot temperatures in the summer; and finally different holidays throughout the year. Such as Halloween in October, and Christmas in December.<br /><br />Sendak's simple three colored crayon-like drawings are a perfect addition to his educational and entertaining story.<br /><br />A great activity that you can do with this book is to have children draw their own illustrations for each month of the year.  Afterwards you can bind the pages together so the children can create their own book.",summary young boy describe use chicken soup rice month year value sendak creative repetition rhythmic word children enjoy learn read story love catch also well season go identify ice skate snowmen winter strong wind march bird flower spring swim hot temperature summer final differ holiday throughout halloween october christmas december simply three color crayon like draw perfect admit duc entertain great active book illusory afterward bind page together
138707,150525,0006641040,A2QID6VCFTY51R,Rick,1,2,1,1025481600,"In December it will be, my snowman's anniversary...","My daughter loves all the ""Really Rosie"" books. She was introduced to the Really Rosie CD performed by Carole King (also available on Amazon!) on her 1st Birthday and now, a year later, she knows all the songs. As far as the books go, we own: One Was Johnny, Alligators All Around, & Chicken Soup w/Rice. These books are well written with clever art work by Maurice Sendak. Plus, they are really cheap!! Highly recommended :)",daughter love really rosi book introduce cd perform carol king also avail amazon st birthday year later know song far go one johnny allie around chicken soup w rice well written clever art work maurice sendak plus cheap highly recommend
138708,150526,0006641040,A3E9QZFE9KXH8J,R. Mitchell,11,18,0,1129507200,awesome book poor size,This is one of the best children's books ever written but it is a mini version of the book and was not portrayed as one.  It is over priced for the product.  I sent an email regarding my bewilderment  to Amazon and got no response.,one best children book ever written mini version portray price product sent email regard bewilder amazon got response
138709,150529,0006641040,A25ACLV5KPB4W,"Matt Hetling ""Matt""",0,1,1,1108425600,"Nice cadence, catchy rhymes","In June<br />I saw a charming group<br />of roses all begin<br />to droop<br />I pepped them up<br />with chicken soup!<br />Sprinkle once<br />sprinkle twice<br />sprinkle chicken soup<br />with rice<br /><br />This is a great book to teach children the months of the year. The repetition of the phrases and the funny little stories with accompanying pictures make for an ideal bedtime read. This isn't nearly as good as some of Sendak's other books (like Where the Wild Things are or Pierre: The Boy Who Didn't Care), but it still carries his unique brand of charm.",june saw charm group rose begin droop pep with chicken soup sprinkle oncesprinkl twicesprinkl sopwith ricethi great book teach children month year repeat phrase funny little story accompany picture make ideal bedtime read nearly good sendak like wild thing pierre boy care still carry unique brand
138699,150517,0006641040,ABW4IC5G5G8B5,kevin clark,0,0,1,1291075200,good for children,"Classic children's book, can't go wrong. I read it when i was a kid and ordered it 20yrs later. can't beat that.",classic children book go wrong read kid order yr later beat
138686,150504,0006641040,AQEYF1AXARWJZ,"Les Sinclair ""book maven""",1,1,1,1212278400,Chicken Soup with Rice,"A very entertaining rhyming story--cleaver and catchy.The illustrations are imaginative and fit right in. However, the paperback is somewhat small and flimsy. I'd opt for a bigger edition.",entertain rhyme story cleaver catch illusory imagine fit right howe paperback somewhat small flimsy opt bigger edit
138692,150510,0006641040,AM1MNZMYMS7D8,Dr. Joshua  Grossman,0,0,1,1348358400,Professional Mentoring,"TITLE: Chicken Soup with Rice<br />AUTHOR: Maurice Sendak<br />REVIEWER: Josh Grossman, Colonel {r}, U.S.A.R., M.C., M.D., FACP<br />Rural physician/author/educator-Mentor U.S.M.L.E. Step 3...<br />>Who would believe that I have memorized this book?<br />>Who would believe that I can recite any month in any order?<br />>Who would believe that I read my copy to tatters while reading to my children now professional adults?<br />>Who would believe that my grandchildren read their copy to tatters?<br />I can be confident that generations of children will enjoy ""Chicken Soup with Rice""<br />Bravo!<br />Thank you!<br />Respectfully submitted...",title chicken soup riceauthor maurice sendakreview josh grossman colonel r u c facprur physician author duc mentor l e step would believe memory book remit month order read copy matter children profession adult grandchildren confide gene enjoy rice bravo thank respect submit
138680,150498,0006641040,A3SJWISOCP31TR,R. J. Wells,2,2,1,1176336000,A Gem of a Book,"This is a wonderful little book. I loved it 40 years ago and my twins love it now. They enjoy helping me finish each month by singing ""... chicken soup with rice!""<br /><br />The cute drawings add to the fun -- but be warned, one of them is very un-PC! We're not in 1962 any more, Toto.",wonder little book love year ago twin enjoy help finish month sing chicken soup rice cute draw add fun warn one un pc toto
138677,150494,0006641040,AYZ0PR5QZROD1,Mother of 3 girls,3,3,1,1173312000,Family favorite,"All of my children love this book.  My first grader got it for Christmas and loves to read the rhymes.  She is proud that she can do it herself.  (Each month her teacher works on a month from the book with the class-not that she reads independently yet.)  My girls especially enjoy reading the month they were born and singing ""going once, going twice, going chicken soup with rice"".  This book is a classic that I remember from my childhood.  I highly recommend it.  I just wish the book was a larger size.  It tends to get lost in the bookshelf among regular sized books.",children love book first grader got christmas read rhyme proud month teacher work class indeed yet girl expect enjoy born sing go twice chicken soup rice classic remem childhood highly recommend wish larger size tend get lost bookshelf among regular
138678,150496,0006641040,A3KKR87BJ0C595,"Gretchen Goodfellow ""Lover of children's lit""",3,3,1,1111363200,"You'll use it once, you'll use it twice","One of my earliest memories is of this book.  My mother, who read to us constantly, read this one to us, and we quoted it non-stop.  In fact, that was a typical sort of soup we would beg for at the grocery because of this book!<br /><br />Since then, I have used the book in every class/teaching situation I have been in.  I have never met a child who did not LOVE it, and ask to be read it again and again.  It sure beats all those stupid songs you sing in preschool about the months of the year! :)  Even if you are not a Maurice Sendak fan, you will enjoy this one, because it is so original and poetic.",one earliest memory book mother read us constantly quote non stop fact topic sort soup would beg grocery since use every class teach situate never met child love ask sure beat stupid song sing preschool month year even maurice sendak fan enjoy origin poetic
138685,150503,0006641040,A3R5XMPFU8YZ4D,"Her Royal Motherliness ""Nana""",1,1,1,1233964800,so fun to read,This is my grand daughter's and my favorite book to read. She is 4 and loves the rhythm of this cute story! I actually enjoy reading it over...and over....and over.....,grand daughter favorite book read love rhythm cute story actual enjoy
138684,150502,0006641040,AVFMJ50HNO21J,Jane Doe,1,1,1,1324944000,"Tiny little book, Wonderful little rhymes.","This copy is smaller than I expected (mostly because I didn't pay attention to the listed dimensions of the book). Maurice Sendak is a wonder, and this little book of months and rhymes is absolutely silly and so much fun to read. I remember it fondly as a child, and I wanted to make sure I had it for my little one's book shelf. Very cute way to teach the months of the year (not to mention celebrating my own personal love of soup) and beautifully illustrated in the way only Sendak can.",copy smaller expect mostly pay attend list dimers book maurice sendak wonder little month rhyme absolute silly much fun read remem fondly child want make sure one shelf cute way teach year mention celebi person love soup beauty illusory
138679,150497,0006641040,A1HKYQOFC8ZZCH,"Maria Apolloni ""lanarossa""",2,2,0,1334707200,"The story is great, the softcover book is disappointing","I give five stars to the Maurice Sendak story. One star for this printed edition of the book.<br />My children had an older copy this book, so I was very familiar with the previous softcover version. I ordered this for my granddaughters, but I'm embarrassed to give it as a gift, it looks so puny. The book is about the size of a postcard and I think it's overpriced. I've learned my lesson: I will not be buying any more softcover children books, next time I'll get a used copy.",give five star maurice sendak story one print edit book children older copy familiar previous softcov version order granddaughter embarrass gift look punk size postcard think over learn lesson buy next time get use
138683,150501,0006641040,AJ46FKXOVC7NR,Nicholas A Mesiano,2,2,1,940809600,This whole series is great way to spend time with your child,"I can remember seeing the show when it aired on television years ago, when I was a child.  My sister later bought me the LP (which I have to this day,  I'm thirty something).I used this series of books &amp; songs when I did my  student teaching for preschoolers &amp; turned the whole school on to it.  I am now purchasing it on CD, along with the books for my children 5 &amp;  2.  The tradition lives on!",remem see show air televisa year ago child sister later bought lp day thirty cometh use seri book song student teach preschool turn whole school purchas cd along children trait live
138676,150493,0006641040,AMX0PJKV4PPNJ,"E. R. Bird ""Ramseelbird""",71,72,1,1096416000,Read it once. Read it twice. Reading Chicken Soup With Rice,"These days, when a person says, ""chicken soup"" they're probably going to follow up those words with, ""for the soul"" or maybe ""for the teenaged soul"".  Didn't used to be that way.  Why I can remember a time when if a person said, ""chicken soup"" those words were followed by an enthusiastic ""with rice!"".  Such was the power of Maurice Sendak's catchy 1962 children's book.  I am pleased to report that if you care to read this book again today, you will find it hasn't dimished a jot in terms of frolicksome fun.  In this book we are led through a whirlwind chicken soup year with our host, a boy who bears no little resemblance to Sendak's other great rhyming tale ""Pierre"" (in looks if not demeanor).  It's a catchy flouncy bouncy combo of soup and the people who love it so.<br /><br />This is ostensibly a book meant to teach your children the different months of the year.  Each month gets its own rhythmic poem and accompanying illustration.  These are fairly simple pen and ink drawings with the occasional splash of blue (in varying shades), yellow, gray, and green.  You may wonder how an author could ever hope to come up with twelve highly original soup-related poems.  I mean, honestly, how much is there to say about even the fanciest soup, let alone chicken soup with rice?  Quite a lot, as it happens.  In the cold winter months soup is supped while sliding on ice, while celebrating the birthday of a snowman, and in a gusty gale as a whale.  In the spring there's robin's nest soup, soup to cure drooping roses, and soup stolen by jealous March winds.  Our hero postulates the potential joys that could come of being a cooking pot, stewing soup or (oddly enough) as ""a baubled bangled Christmas tree"".<br /><br />Not to degrade the reading skills of parents everywhere, but I cannot recommend enough getting an audio version of this tale to accompany your child's reading.  Though I am now a wise and cultured 26 year-old (the years have been kind to me in this, my old age) I can still remember the chicken soup with rice tune.  Heck, I read this entire book recently and found I could do the song perfectly with each and every line.  Now maybe you have your own particular chicken soup with rice song style that you're just loathe to give up.  If so, fine.  I understand why you might not want to taint your already existing chicken soup melody.  But if you haven't found a jingle to accompany this book, get the audio version immediately, if not sooner.  Until you can sing ""Whoopy once, whoopy twice, whoopy chicken soup with rice"" with the correct oomph, you're missing out.<br /><br />I take my ""Chicken Soup With Rice"" readings seriously.  This book was the ""Chicka Chicka Boom Boom"" of its day, and still remains the catchiest method to teach kids the months of the year.  It is also seriously in danger of being forgotten.  So pull out your old accordion and strap on your dancing shoes.  The time for yukkin' it up to a merry dance of poultry broth is here.  It's Sendak at his finest.",day person say chicken soup probably go follow word soul may teenage use way remem time said enthusiast rice power maurice sendak catch children book pleas report care read today find irish jot term frolicksom fun led whirlwind year host boy bear little resemble great rhyme tale pierre look demeanour flounce bounce combo people love ostend meant teach differ month get rhythmic poem accompany illusory fairly simply pen ink draw occasion splash blue vary shade yellow gray green wonder author could ever hope come twelve highly origin relate mean honestly much even fancies let alon quit lot happen cold winter sup slide ice celebi birthday snowman gust gale whale spring robin nest cure droop rose stolen jealous march wind hero postal potent joy cook pot stew oddly enough bauble bang christmas tree degrade skill parent everywhere recommend audio version child though wise culture old kind age still tune heck enter recent found song perfectly every line particular style loath give fine understand might want taint already exist melody jingle impede sooner sing whoopi twice correct oomph miss take serious chicks boom remain catches method kid also danger forgotten pull accordion strap dance shoe ruskin merry poultry broth finest
138682,150500,0006641040,A1IJKK6Q1GTEAY,A Customer,2,2,1,1009324800,It Was a favorite!,"This was a favorite book of mine when I was a little girl and I would read it all the time and my Mom would read it to me as a bedtime book, I have had two copies of this book the first one had been either lost or given away but I found another copy at a garage sale and it was in very good condition and I just had to buy it, I don't know where it is but it's around somewhere probably up in the attic and I will have to look for it so I can read it to my niece. I recommend this book!",favorite book mine little girl would read time mom bedtime two copy first one either lost given away found noth garage sale good conduit buy know around somewhere probably attic look nice recommend
138681,150499,0006641040,A3E7R866M94L0C,"L. Barker ""simienwolf""",2,2,1,1065830400,Can't explain why,"This book has been a favorite of mine since I was able to read. It was one of my first introductions to poetry, and the humorous rhymes have been an inspiration to me in my own writing. This is the type of book that college students reminisce about and bond over--it really is that simple and good.",book favorite mine since all read one first introduce poetry humor rhyme inspire write type college student reminisce bond really simply good
476617,515426,141278509X,AB1A5EGHHVA9M,CHelmic,1,1,1,1332547200,The best drink mix,"This product by Archer Farms is the best drink mix ever. Just mix a flavored packet with your 16 oz. water bottle. Contains the all natural sweetner Stevia, real fruit flavoring and no food coloring. Just colored with fruit or vegetable colors. Pure and natural and tastes great. There are eight packets in a box and only contains 10 calories per packet. Thank you Archer Farms!",product archer farm best drink mix ever flavor packet oz water bottle contain nature sweeter stevie real fruit food color beget pure last great eight box calorie per thank
22621,24751,2734888454,A1C298ITT645B6,Hugh G. Pritchard,0,0,1,1195948800,Dog Lover Delites,Our dogs just love them.  I saw them in a pet store and a tag was attached regarding them being made in China and it satisfied me that they were safe.,dog love saw pet store tag attach regard made china satisfy safe
22620,24750,2734888454,A13ISQV0U9GZIC,Sandikaye,1,1,0,1192060800,made in china,"My dogs loves this chicken but its a product from China, so we wont be buying it anymore.  Its very hard to find any chicken products made in the USA but they are out there, but this one isnt.  Its too bad too because its a good product but I wont take any chances till they know what is going on with the china imports.",dog love chicken product china wont buy anymore hard find made usa one int bad good take chance till know go import
284375,308077,2841233731,A3QD68O22M2XHQ,LABRNTH,0,0,1,1345852800,Great recipe book for my babycook,This book is easy to read and the ingredients are available in stores unlike some recipe books where you have to go to special stores to find ingredients. I use it to make food not only for my son but for myself!  The only thing I wish was that there were more recipes like these.  It is great for any one who likes a healthy and yummy snack.,book east read ingrid avail store unlike recipe go special find use make food son thing wish like great one health yummy snack
157850,171161,7310172001,AFXMWPNS1BLU4,H. Sandler,0,0,1,1229385600,Excellent treats,"I have been feeding my greyhounds these treats for years.  My hounds can be a little finicky, but they love these treats.  They are expensive, relative to other biscuits, but I find they are a good addition to their diet.  The treats are easy on the teeth.  Since they are protein treat, be careful not to overindulge your pet on a regular basis.  They are great treats to take on walks as you can stuff them in your pocket easily.  I have found prices can vary from vendor to vendor, so shop around.",feed greyhound treat year hound little finicky love expense rel biscuit find good admit diet east teeth since protein care overindulg pet regular basis great take walk stuff pocket easily found price vary vendor shop around
157849,171160,7310172001,A74C7IARQEM1R,stucker,0,0,1,1230076800,Sophie's Treats,"This is one product that my welsh terrier can eat. Sophie has food alergies so I have to be very careful in what I feed her. My other dog Oscar, also gets these treats and loves them. He has no food alergies. This product is just simple ingredients, no additives, and that is what my dogs need.",one product welsh terrier eat sophie food alert care feed dog oscar also get treat love simply ingrid admit need
157833,171144,7310172001,A1V5MY8V9AWUQB,"Cheryl Sapper ""champagne girl""",0,0,1,1244764800,THE BEST healthy dog treat!,"This is the ONLY dog treat that my Lhasa Apso will eat. It makes me happ becuase it has NO added ingredients or preservatives, as well as NO ADDED SALT! This is the ONLY dog treat that my Vet approves of!",dog treat lhasa also eat make happ because ad ingrid preserve well salt vet approve
157832,171143,7310172001,A2SWO60IW01VPX,Sam,0,0,1,1252022400,My Alaskan Malamute Loves Them!!,"These liver treas are phenomenal. When i received the 14oz. bucket by amazon i began training my 3month old Alaskan malamute. Now that a month has passed by, she now knows: Sit, Stay, Down, Paw, & SPEAK! My bucket is almost empty as it only lasted for about a month but was worth every penny as ive read malamutes are very stubborn quite dogs. I gave some to my 2 poodles where they gobbled it down and were begging for more. These treats are highly recommended, plus the liver cubes can be further broken down into quadrants. A+++ product",liver area phenomena receive oz bucket amazon began train month old alaskan malamute pass know sit stay paw speak almost empty last worth every penny ive read stubborn quit dog gave pool gobble beg treat highly recommend plus cube broken quadrant product
157837,171148,7310172001,A3TFTWTG2CC1GA,J. Umphress,0,0,1,1240272000,Best treat ever!,This was the only treat my dog liked during obedience training and it has remained her favorite ever since.  I haven't met a dog that didn't like this treat!,treat dog like bedi train remain favorite ever since met
157831,171142,7310172001,A2ZO1AYFVQYG44,"Cindy Rellie ""Rellie""",0,0,1,1254960000,my 12 year old maltese has always loved these,"No waste , even if she is having a  day when she goes on a hunger strike  she always room for one or 2 or 3 of these and the extra powder on bottom makes a real treat on food , Never met a pooch that did not go crazy over her treats !",wast even day got hunger strike always room one extra powder bottom make real treat food never met pooch go crazy
157830,171141,7310172001,AZ40270J4JBZN,"Zhinka Chunmee ""gamer from way back in the 70's""",0,0,1,1264291200,"Dogs, Cats, Ferrets all love this","I wanted a treat that was accepted and well liked for my rescue animals.<br />This is the only treat that is healthy and loved by all 4 legged beings in my home!<br />It does not contain sugar or grains or silly vegetables which virtually all treats contain. Dogs, cats and ferrets are carnivores they are not cattle to eat grain or rabbits to eat vegetables, and WHYYYY do companies add sugar,beet pulp or corn syrup to carnivore foods? It is dangerous and can cause the death of an animal with diabetes.<br />It is pretty easy to break into smaller pieces for cats and kittens with weak jaws and its wonderful to use as an aid to gain the trust of an abused dog as it will not cause stomach upset when given in common sense amounts.<br />I like that it goes a long way as it costs alot to heal and maintain and train abused and rescued dogs.<br />NO minus to this product other then the price,I can not afford to use it as much as I would like.",want treat accept well like rescue aim health love leg be home contain sugar grain silly beget virtual dog cat ferret carnivore cattle eat rabbit whyyyy company add beet pulp corn syrup food danger cause death diet pretty east break smaller piece kitten weak jaw wonder use aid gain trust bus stomach upset given common sens amount got long way cost a lot heal maintain train minu product price afford much would
